,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,P_ASPA,P_ASPA,P_SH3BGRL2,P_SERPINC1,P_SH3BGRL2,T_GPD1L,PP_CAVIN2,P_SERPINA1,T_KRT13,T_CFD,P_SPTAN1,P_SH3BGRL2,P_PID1,P_ASPA,P_ASPA,T_KRT13,P_ASPA,T_KRT13,P_SERPINC1,T_KRT13,P_ASPA,P_HPX,P_HPX,P_SH3BGRL2,P_SERPINC1,P_SH3BGRL2,P_ASPA,P_UTRN,P_TOP1,P_ASPA,P_ASPA,P_SERPINA6,T_ETFDH,P_ASPA,P_RECK,P_ASPA,PP_CAVIN2,P_ASPA,P_SERPINC1,T_KRT4,T_KRT13,T_KRT4,P_DCN,P_DCN,P_NOSTRIN,P_RECK,P_ASPA,P_SERPINC1,T_F10,P_SH3BGRL2,T_ETFDH,P_SERPINC1,P_CAVIN2,P_SH3BGRL2,P_SH3BGRL2,T_KRT13,P_RECK,P_HPX,P_DCN,P_HPX,P_ASPA,P_SH3BGRL2,P_ASPA,P_DCN,P_SH3BGRL2,P_ASPA,P_PODN,P_ASPA,P_SH3BGRL2,P_SH3BGRL2,P_SH3BGRL2,P_SERPINC1,P_HPX,P_SH3BGRL2,P_SH3BGRL2,P_HPX,P_ASPA,P_ASPA,P_PID1,P_SH3BGRL2,P_SH3BGRL2,T_SCARA5,P_SERPINC1,P_SH3BGRL2,P_ASPA,P_HPX,P_SERPINC1,P_DPT,P_HPX,P_SERPINC1,P_SELENBP1,T_KRT4,P_LYVE1,P_LYVE1,P_ASPA,P_CAVIN2,T_KRT4,P_ASPA,PP_CAVIN2,P_SH3BGRL2
1,P_SH3BGRL2,P_DCN,P_DCN,P_RECK,P_ASPA,P_CAB39L,P_ASPA,P_ASPA,P_ASPA,P_ASPA,P_DCN,P_PID1,P_ASPA,P_SH3BGRL2,P_SERPINC1,P_ASPA,P_SH3BGRL2,P_SH3BGRL2,P_ASPA,T_F10,T_STX1A,P_ASPA,P_ASPA,P_SERPINA1,P_SERPING1,P_ASPA,P_SH3BGRL2,T_ASPA,P_ASPA,P_SH3BGRL2,P_SH3BGRL2,P_CAB39L,P_ASPA,P_HPX,P_HPX,T_KRT13,P_SH3BGRL2,P_CAB39L,T_KRT13,T_KRT13,P_KRT4,P_SPTAN1,P_ASPA,P_ALB,P_PODN,P_HPX,P_SH3BGRL2,P_PID1,P_ASPA,P_HPX,T_PTK7,P_SH3BGRL2,P_NSUN2,P_ASPA,P_HPX,P_ASPA,P_HPX,P_ASPA,P_SH3BGRL2,P_ASPA,P_SH3BGRL2,P_ASPA,P_SH3BGRL2,P_SH3BGRL2,P_SERPINC1,T_FEN1,P_ASPA,P_SERPINC1,P_SERPINC1,T_F10,P_ASPA,P_ASPA,T_RHEBL1,P_ASPA,P_PID1,P_SH3BGRL2,P_SH3BGRL2,T_GPD1L,P_ASPA,P_ASPA,T_NXPH3,T_GPD1L,P_HPX,P_PID1,P_SERPINC1,P_ASPA,P_ASPA,P_PID1,P_ASPA,T_KRT13,T_KRT13,P_TOP1,P_HPX,P_HPX,P_DCN,T_ETFDH,T_F10,P_SH3BGRL2,P_TOP1,P_CAB39L
2,T_SASH1,P_HPX,P_ASPA,P_SH3BGRL2,P_PID1,P_ASPA,T_ETFDH,P_DCN,T_KRT4,P_CAB39L,P_CAVIN2,P_ASPA,P_SH3BGRL2,T_TMEM100,T_CAB39L,P_LYVE1,T_GPRIN1,P_LYVE1,P_SH3BGRL2,P_HPX,P_CAVIN2,P_SH3BGRL2,P_PID1,P_ASPA,P_ASPA,P_DPT,P_PID1,T_SCARA5,T_GPD1L,P_HPX,T_KRT4,P_DCN,T_SASH1,P_SH3BGRL2,P_DCN,T_MAL,P_ASPA,P_SH3BGRL2,P_DCN,P_ASPA,P_KRT13,P_ALB,T_SCARA5,P_SPTBN1,P_ASPA,P_ASPA,P_HPX,P_SH3BGRL2,T_GPD1L,P_ASPA,T_MPC1,T_KRT13,P_ASPA,PP_IFI35,PP_DCN,P_SH3BGRL2,P_DCN,P_SH3BGRL2,P_ASPA,P_SH3BGRL2,P_HPX,P_HPX,P_HPX,P_ASPA,P_PID1,T_MIR29B2CHG,P_HPX,P_ALB,P_PID1,T_KRT13,P_PID1,P_SH3BGRL2,P_ASPA,P_DCN,P_ASPA,P_ASPA,P_CAB39L,P_CAB39L,P_SH3BGRL2,P_HPX,P_ASPA,T_RERGL,P_ASPA,P_ASPA,P_CAB39L,P_LYVE1,P_PID1,P_ASPA,T_KRT13,P_ASPA,P_ASPA,P_ASPA,P_CAB39L,P_SELENBP1,T_GPD1L,P_ASPA,P_ASPA,P_CAB39L,P_ASPA,P_ASPA
3,P_HPX,P_RECK,P_CAB39L,P_TF,P_SELENBP1,P_LYVE1,P_CAVIN2,P_SH3BGRL2,P_SH3BGRL2,P_NOSTRIN,P_SERPINC1,P_HPX,P_HPX,T_SASH1,P_CAB39L,P_PID1,T_MPC1,P_ASPA,P_SERPINA6,P_ASPA,T_GPD1L,P_CAB39L,P_SH3BGRL2,P_HPX,P_PID1,P_HPX,P_CAB39L,P_ASPA,T_CAB39L,P_AHSG,T_KRT13,P_ALB,T_CAB39L,P_PID1,P_SH3BGRL2,P_HPX,P_CAVIN2,T_GPD1L,P_ASPA,P_SH3BGRL2,P_ASPA,T_SCARA5,T_GPD1L,P_ASPA,P_HPX,P_DCN,P_SERPINA6,P_ASPA,P_SERPINC1,P_CAB39L,P_ASPA,P_DCN,P_CAB39L,P_HPX,P_DCN,P_HPX,P_ASPA,P_LYVE1,P_HPX,P_CAB39L,P_CAB39L,T_SASH1,P_CAB39L,T_KRT13,P_SERPINA6,T_RAD51AP1,P_SH3BGRL2,P_SPTAN1,P_ASPA,P_ASPA,T_SASH1,P_ALB,P_SH3BGRL2,P_HPX,P_HPX,P_LYVE1,P_HPX,P_TOP1,P_HPX,P_CAB39L,PP_EHD2,P_ASPA,P_ALB,PP_CAVIN2,P_CAVIN2,P_CAB39L,P_SH3BGRL2,P_SH3BGRL2,P_DCN,P_ALB,P_SH3BGRL2,T_ADAM12,P_SH3BGRL2,P_ASPA,P_CFD,P_CD34,T_GPD1L,P_HPX,T_SASH1,P_SELENBP1
4,P_CAB39L,P_DPT,P_LYVE1,P_ASPA,P_CAB39L,P_CAVIN2,P_SH3BGRL2,P_HPX,P_HPX,P_RECK,P_ASPA,P_CAB39L,T_ASPA,P_CAB39L,T_SASH1,T_CFD,PP_CAVIN2,T_KRT4,P_HPX,P_SH3BGRL2,P_SH3BGRL2,P_SERPINC1,P_CAB39L,P_SERPINC1,P_SH3BGRL2,P_LYVE1,P_SELENBP1,T_GPD1L,T_WDR54,T_SASH1,P_HPX,T_VAV2,P_SH3BGRL2,P_CAB39L,P_ASPA,T_MUC21,P_HPX,PP_TRPM6,T_LINC02487,T_CLEC3B,T_GPD1L,T_KRT13,P_PID1,P_SERPINC1,P_SERPING1,P_LYVE1,P_ALB,P_HPX,P_HPX,PP_CAVIN2,P_CAB39L,P_ASPA,T_SASH1,P_CAB39L,PP_CAVIN2,P_CAB39L,P_SH3BGRL2,P_CAB39L,P_CAB39L,P_RECK,P_SERPING1,P_SELENBP1,T_ASPA,T_KRT4,PP_CAVIN2,PP_SYN2,P_SERPINA1,P_SH3BGRL2,P_SERPINA1,P_HPX,P_HPX,P_CAB39L,P_LYVE1,PP_CAVIN2,P_CAB39L,P_CAB39L,P_SERPINA1,T_MPC1,P_CAB39L,P_PODN,PP_CAVIN2,P_CAVIN2,P_SH3BGRL2,P_HPX,P_SPTAN1,P_SH3BGRL2,P_HPX,P_LYVE1,P_SH3BGRL2,P_CAB39L,P_LYVE1,P_CAB39L,T_KRT13,P_CAB39L,P_SH3BGRL2,P_EHD2,P_SH3BGRL2,P_LYVE1,T_CAB39L,P_LYVE1
5,T_ASPA,P_CAB39L,P_SELENBP1,P_DCN,P_RECK,T_SASH1,T_GPD1L,P_LUM,P_CAB39L,P_HPX,P_ALB,PP_CAVIN2,P_CAB39L,P_HPX,T_GPD1L,P_SH3BGRL2,P_HPX,P_HPX,P_ALB,T_KRT4,T_SCARA5,P_SERPING1,P_SERPINC1,P_CAB39L,P_HPX,P_CAB39L,P_HPX,T_SASH1,T_F10,P_SERPING1,P_CAB39L,P_SERPINC1,T_MPC1,P_SERPINA6,P_CAB39L,P_SH3BGRL2,P_CAB39L,P_CAVIN2,P_PID1,P_CAVIN2,T_KRT4,P_SERPINC1,P_CAVIN2,P_SERPINA6,P_SH3BGRL2,P_SELENBP1,P_SERPINC1,P_SERPINA6,P_SPTAN1,P_LYVE1,P_SERPINC1,P_ALB,P_PODN,P_AHSG,P_ASPA,P_SERPINA6,P_CAB39L,T_SASH1,P_PODN,T_ASPA,P_SERPINC1,T_ASPA,T_ADAMTS9-AS2,P_HPX,P_ASPA,P_CDC27,PP_CAVIN2,P_SERPINA6,P_PODN,PP_CAVIN2,P_CAB39L,P_SERPINA6,P_CAB39L,P_CAB39L,P_ALB,P_SERPINC1,P_SERPINC1,P_CAVIN2,T_ASPA,T_SASH1,P_HPX,T_MPC1,P_SERPINA6,T_AP5Z1,P_SH3BGRL2,P_SELENBP1,P_SERPINA6,P_HPX,T_KRT4,P_LYVE1,P_RAB5B,T_KRT13,P_ASPA,P_SH3BGRL2,T_CAB39L,T_GPD1L,T_KRT13,P_SELENBP1,P_SH3BGRL2,P_HPX
6,P_SELENBP1,P_SH3BGRL2,P_HPX,T_KRT13,P_LYVE1,T_CLEC3B,PP_NFIA,T_F10,T_MAL,P_LYVE1,T_SCARA5,P_SERPINC1,P_SERPINC1,T_ASPA,P_SPTAN1,P_CAB39L,P_CAVIN2,P_CAB39L,P_TF,P_CAB39L,P_CAB39L,T_F10,T_ETFDH,P_SERPINA3,P_TF,P_SELENBP1,P_LYVE1,P_HPX,P_CAB39L,P_CAB39L,P_RECK,T_SASH1,P_CAB39L,P_SERPINC1,P_LYVE1,P_LYVE1,T_ABCA8,PP_CAVIN2,T_MUC21,P_CAB39L,T_ADAM12,P_SERPINA6,P_CAB39L,P_TOP1,T_NRG2,P_SH3BGRL2,P_PODN,P_ALB,T_CLEC3B,T_CLEC3B,P_CAVIN2,P_LYVE1,PP_CAVIN2,PP_CAVIN2,P_NOSTRIN,T_KRT4,T_ADAMTS9-AS2,T_TMEM100,P_LUM,P_PID1,T_KRT4,P_CAB39L,P_RECK,P_CAB39L,P_ALB,P_NSUN2,P_KNG1,T_GPD1L,P_ALB,T_PKHD1L1,P_LYVE1,PP_PIP5K1C,P_DPT,P_PID1,P_SERPINA6,P_EHD2,T_ASPA,T_SASH1,T_SASH1,T_ASPA,T_PKHD1L1,P_CAB39L,T_ASPA,P_CAB39L,P_PID1,T_SASH1,P_TF,T_NXPH3,P_RECK,P_HPX,T_KRT4,T_MPC1,P_SELENBP1,P_RECK,P_CAB39L,T_CLEC3B,T_CLEC3B,P_PLCB1,P_SSC5D,T_ASPA
7,P_LYVE1,P_SERPINC1,P_DPT,P_LYVE1,P_HPX,T_MPC1,T_SCARA5,P_SERPINA3,T_MUC21,P_SELENBP1,P_NSUN2,P_LYVE1,P_LYVE1,T_CLEC3B,PP_NFIA,P_SELENBP1,T_GPD1L,T_F10,P_CAB39L,P_SERPINC1,T_MPC1,PP_IFI35,P_LYVE1,P_DPT,P_SERPINA6,P_PLCB1,T_SASH1,T_CAB39L,T_SASH1,P_KNG1,P_SERPINC1,P_LUM,T_GPD1L,T_SASH1,P_SELENBP1,P_CAB39L,T_NXPH3,T_SASH1,P_ALB,T_GPD1L,T_SASH1,P_HPX,T_SASH1,T_GPD1L,T_ADAMTS9-AS2,P_CAB39L,P_CAB39L,P_NOSTRIN,T_GPRIN1,T_ASPA,P_SPTAN1,P_SERPINA6,T_GPD1L,P_LYVE1,P_CAB39L,P_ALB,P_SERPINA6,P_SERPINC1,T_SASH1,T_CLEC3B,T_ABCA8,P_SERPINC1,T_CLEC3B,P_SERPINC1,P_HPX,T_RFC4,PP_IFI35,P_CAB39L,P_HPX,T_KRT4,P_SELENBP1,P_SERPINA1,T_ASPA,P_CAVIN2,T_SASH1,T_F10,T_SASH1,T_SCARA5,T_F10,T_KRT13,P_PODN,T_CLEC3B,P_CAB39L,P_SERPINC1,T_GPD1L,T_CFD,P_ALB,P_DCN,P_DPT,P_SERPINA6,P_CAB39L,P_CAVIN2,T_KRT4,P_OGN,PP_DCN,PP_CAVIN2,P_CAB39L,T_ASPA,P_CAVIN2,P_PODN
8,T_KRT4,T_SASH1,P_SERPINC1,P_SERPINA6,T_ETFDH,P_SELENBP1,T_MPC1,P_SERPINC1,T_SH3BGRL2,P_SH3BGRL2,T_GPD1L,T_ETFDH,T_CLEC3B,P_PID1,P_CAVIN2,P_HPX,T_CLEC3B,T_ASPA,T_SASH1,P_LYVE1,PP_CAVIN2,P_SERPINA6,T_TMEM100,T_NXPH3,P_ALB,P_OGN,T_F10,P_CAB39L,P_TTR,P_PODN,PP_CAVIN2,P_ASPA,T_LGI1,T_CCL14,P_DPT,P_OGN,P_EHD2,T_CLEC3B,T_MAL,PP_CAVIN2,P_DCN,P_ASPA,T_PLP1,P_SPTAN1,P_SERPINA1,P_DPT,T_SASH1,P_TF,P_CAB39L,T_SASH1,P_SERPINA3,PP_IFI35,PP_NFIA,T_NXPH3,P_PID1,P_PODN,P_SERPINC1,T_CCL14,P_DPT,P_LYVE1,P_SERPINA1,P_LYVE1,P_SERPINC1,PP_AQP1,P_CAB39L,PP_CAVIN2,P_CAB39L,P_CAVIN2,P_CAB39L,P_NOSTRIN,PP_CAVIN2,T_CCL14,T_F10,P_SERPINC1,P_SELENBP1,T_CLEC3B,P_LYVE1,PP_SPTAN1,T_SCARA5,P_SERPINC1,T_F10,P_SPTAN1,P_SERPINA1,T_SASH1,T_MPC1,T_FAIM2,P_BTD,P_CAB39L,T_F10,T_CFD,P_HPX,T_GPD1L,P_PID1,T_F10,T_RERGL,P_RECK,T_ANKRD20A5P,P_SERPINA3,P_PID1,P_OGN
9,P_SERPINC1,P_LYVE1,T_F10,P_CAB39L,P_SERPINC1,T_ETFDH,P_CAB39L,T_KIAA0232,P_KRT13,T_NXPH3,P_SERPINA6,P_NOSTRIN,P_SERPING1,T_SCARA5,T_SCARA5,T_SASH1,P_CAB39L,T_SCARA5,P_RECK,P_RECK,T_ASPA,P_ALB,T_KRT4,P_PODN,T_SASH1,P_SERPINA3,P_SERPINC1,P_SPTAN1,P_CAVIN2,P_SERPINA1,P_LYVE1,P_SPTAN1,PP_NFIA,P_ALB,T_FAM107A,T_KRT4,P_LYVE1,T_MPC1,P_HPX,T_MPC1,T_CLEC3B,T_MPC1,T_ASPA,P_PID1,T_SCARA5,P_SERPINC1,P_CAVIN2,P_CAB39L,PP_NFIA,T_KRT4,T_SASH1,PP_CAVIN2,P_HPX,P_AGT,T_SASH1,T_MUC21,P_ALB,PP_NFIA,T_CLEC3B,T_KRT13,P_PID1,P_CAVIN2,T_SCARA5,T_CLEC3B,P_TF,P_CAVIN2,T_CCL14,P_MMP14,P_SERPINA6,P_LYVE1,P_SERPINC1,P_HPX,P_SERPINA1,T_SASH1,P_SERPINC1,T_CCL14,P_CAVIN2,PP_NAXD,T_KRT13,T_KRT4,P_LYVE1,T_ASPA,P_LYVE1,P_CAVIN2,P_ALB,T_ASPA,T_CCL14,P_SELENBP1,P_CAB39L,T_KRT4,T_RSPO1,T_ABCA8,T_CFD,T_CLEC3B,T_CLEC3B,P_CAB39L,T_RAF1,P_OGN,P_CAB39L,P_SERPINA3
10,T_SCARA5,P_PID1,P_RECK,T_KRT4,T_ADAMTS9-AS2,T_F10,P_SPTAN1,T_CCL14,T_TMPRSS11B,P_SERPINC1,P_HPX,P_CAVIN2,T_SASH1,P_SERPINA1,P_PID1,T_KRT4,T_SASH1,P_KRT13,T_ASPA,P_SERPINA1,T_ETFDH,P_CAVIN2,T_ASPA,P_ALB,PP_IFI35,T_SASH1,P_NOSTRIN,PP_NFIA,T_ASPA,P_NOSTRIN,PP_NFIA,T_GPD1L,T_SCARA5,P_CAVIN2,T_KRT4,T_TMPRSS11B,P_AHSG,P_ABCA8,P_SERPINA6,T_GPRIN1,T_MPC1,T_GPD1L,P_SH3BGRL2,T_SASH1,P_CAVIN2,P_ALB,T_ASPA,T_ABCA8,P_CAVIN2,P_SERPINC1,T_GPD1L,T_KRT4,T_F10,P_SERPINC1,P_SERPINC1,P_SERPINC1,P_MYBBP1A,T_CLEC3B,P_SERPINC1,P_SERPINC1,P_LYVE1,P_DPT,P_PID1,P_NOSTRIN,P_CAVIN2,P_ITIH5,P_NOSTRIN,T_SASH1,P_TF,P_CAB39L,P_CAVIN2,T_TMEM100,P_PODN,P_LYVE1,PP_CAVIN2,P_SELENBP1,P_PID1,T_ETFDH,P_SERPINC1,P_CAVIN2,P_NOSTRIN,PP_NFIA,T_NXPH3,T_CAB39L,T_ETFDH,P_OGN,T_SASH1,P_PRELP,T_SASH1,P_TF,P_OGN,T_SASH1,P_OGN,P_SERPINC1,PP_NFIA,PP_NFIA,PP_CAVIN2,T_SASH1,T_GPD1L,P_DPT
11,T_KRT13,P_CDC27,P_TF,P_LUM,T_KRT4,T_RERGL,T_CLEC3B,P_SERPING1,P_SERPINC1,T_KRT4,T_ASPA,T_ASPA,P_CAVIN2,P_CAVIN2,T_MPC1,T_ASPA,T_SCARA5,P_SERPINC1,P_NOSTRIN,T_GPD1L,T_CLEC3B,PP_FETUB,T_SASH1,T_TMEM100,P_CAB39L,P_SERPINC1,P_CAVIN2,P_CAVIN2,P_HPX,P_ADH4,P_PID1,T_MPC1,T_CLEC3B,T_CLEC3B,T_SASH1,T_PDLIM2,T_ASPA,P_SPTAN1,T_KRT4,T_ETFDH,P_TOP1,P_CAB39L,T_F10,PP_SPTAN1,T_SASH1,P_SERPINA6,T_CLEC3B,PP_CAVIN2,T_SASH1,P_PODN,T_ABCA8,T_SASH1,T_ETFDH,T_CLEC3B,T_CAB39L,P_DPT,T_SASH1,P_SERPINA1,P_LYVE1,P_ORM2,P_DPT,P_PID1,P_SELENBP1,P_RECK,P_SPTAN1,T_NXPH3,P_SERPINC1,PP_CAVIN2,P_KNG1,P_RECK,T_ASPA,T_SASH1,P_SERPINC1,T_F10,T_KRT13,T_GPD1L,T_KRT4,P_CDC27,T_KRT4,P_LYVE1,P_SERPINC1,T_ETFDH,T_SCARA5,T_CDC25B,T_SASH1,T_KRT4,P_RECK,P_SERPINA6,P_SERPINC1,P_SH3BGRL2,T_SASH1,T_LOC105373265,P_AHSG,T_CFD,P_CAVIN2,T_MPC1,T_RERGL,P_ANK2,T_MPC1,T_SCARA5
12,P_PID1,P_CAVIN2,PP_DCN,P_ALB,P_CAVIN2,PP_NFIA,T_SASH1,P_DPT,P_PODN,T_SASH1,P_CAB39L,P_ALB,T_SCARA5,T_KRT4,P_SH3BGRL2,P_SERPINC1,T_ETFDH,T_RERGL,T_CLEC3B,T_CYP4F29P,T_SASH1,P_PID1,P_CAVIN2,P_LYVE1,T_ASPA,P_CAVIN2,T_ASPA,P_PID1,T_SCARA5,P_AGT,P_CAVIN2,P_CAVIN2,P_SPTAN1,T_GPRIN1,P_SERPINC1,T_EMP1,P_SERPINC1,P_HPX,P_SH3BGRL2,T_SERPINH1,P_CAVIN2,T_ASPA,PP_NFIA,P_HPX,P_CAB39L,P_TF,PP_NFIA,T_SASH1,T_PPP1R3C,P_ADH1B,P_TF,P_TF,T_CLEC3B,T_F10,T_CLEC3B,T_TMPRSS11B,P_LYVE1,P_PID1,P_CAVIN2,T_CCL14,P_CAVIN2,PP_NFIA,P_LYVE1,P_PID1,P_LYVE1,T_FOXM1,T_CLEC3B,T_SCARA5,P_COL15A1,T_SH3BGRL2,T_MPC1,T_F10,T_SASH1,P_LUM,T_ASPA,P_CAVIN2,PP_GREM2,T_CLEC3B,PP_CAVIN2,T_MPC1,T_ASPA,T_F10,T_SASH1,P_SERPINA1,P_APPL1,P_SERPINC1,T_ASPA,P_TF,P_LYVE1,P_SPTAN1,P_SERPINC1,P_TTR,T_CLEC3B,T_KRT13,T_ETFDH,P_SPTAN1,PP_NFIA,P_PODN,T_ETFDH,P_APPL1
13,P_CAVIN2,P_LUM,T_KRT4,T_SASH1,PP_DCN,T_MORC2,T_KRT4,T_TMEM100,P_LYVE1,T_KRT13,T_SASH1,T_SASH1,T_F10,P_SERPINC1,T_CLEC3B,T_PLAC9,P_SPTAN1,T_NXPH3,T_SCARA5,T_SASH1,T_LOC105373266,T_ASPA,T_KRT13,T_ETFDH,P_LYVE1,P_TNS2,P_DPT,T_MPC1,T_ETFDH,P_LYVE1,T_SASH1,P_HPX,P_CAVIN2,T_KRT4,P_TF,P_CAVIN2,P_MAOB,T_ETFDH,P_TF,PP_NFIA,P_CAB39L,T_LPCAT1,T_ETFDH,P_NOSTRIN,P_SERPINC1,P_NOSTRIN,T_KRT13,P_EHD2,T_RERGL,P_PID1,P_TMOD2,P_HPX,T_PKHD1L1,P_PID1,P_CAVIN2,T_CLEC3B,P_SELENBP1,T_F10,PP_DCN,T_GPD1L,P_RBM15,T_SCARA5,T_KRT4,PP_DCN,PP_NFIA,P_TOP1,P_EHD2,T_MPC1,P_DPT,P_EHD2,P_DIAPH2,T_GREM2,P_SELENBP1,P_SERPINA6,P_CAVIN2,P_PID1,P_SERPINA7,P_HPX,P_CAVIN2,T_CLEC3B,P_EHD2,T_SASH1,P_TF,PP_DCN,PP_CAVIN2,P_ADH1B,T_SCARA5,P_CAVIN2,T_SCARA5,P_CDC27,P_KRT13,P_SSC5D,T_SASH1,T_GPD1L,PP_CAVIN2,PP_EHD2,T_ETFDH,P_SERPINC1,P_SPTAN1,PP_NAXD
14,T_NRG2,T_F10,P_LUM,P_SELENBP1,T_ASPA,P_SH3BGRL2,P_HPX,T_SCARA5,T_QARS,T_ABCA8,PP_CAVIN2,T_KRT4,P_PODN,P_LYVE1,T_ETFDH,T_F10,P_UTRN,P_MYBBP1A,T_ANGPTL5,T_CLEC3B,PP_NAXD,P_PODN,T_GPD1L,P_PID1,P_SPTAN1,T_KRT4,T_CFD,T_RERGL,T_CLEC3B,P_SERPINC1,T_ASPA,P_DPT,T_F10,P_LYVE1,P_LUM,P_SERPINA3,T_CCL14,T_SCARA5,PP_IFI35,T_SASH1,T_SCARA5,P_CAVIN2,T_RERGL,P_CAVIN2,P_EHD2,PP_DCN,P_LYVE1,P_CAVIN2,T_MORC2,P_CAVIN2,P_SPTBN1,P_CAB39L,P_SPTAN1,P_NOSTRIN,P_EHD2,PP_SYN2,PP_AQP1,T_ABCA8,P_PID1,T_SCARA5,T_F10,T_F10,T_GPRIN1,P_TF,PP_DCN,T_SHCBP1,P_SERPING1,T_ABCA8,P_CAVIN2,T_MUC21,T_F10,P_LYVE1,T_ETFDH,T_CLEC3B,P_DCN,T_ASPA,P_DPT,P_RECK,T_CLEC3B,P_PID1,T_SCARA5,PP_CAVIN2,P_PID1,P_EHD2,P_SPTBN1,P_CAVIN2,P_CAB39L,P_ALB,T_ASPA,T_SASH1,T_ASPA,T_ETFDH,P_DPT,P_DPT,T_SASH1,T_SCARA5,T_CHST2,P_DPT,T_CLEC3B,T_SASH1
15,T_GPD1L,T_GPD1L,T_ABCA8,P_HPX,T_CAB39L,P_SPTAN1,P_EHD2,T_NXPH3,T_SASH1,P_OGN,T_MPC1,T_GPD1L,P_SERPINA6,T_GPD1L,P_ALB,P_KRT13,T_ASPA,T_CLEC3B,P_PID1,P_CAVIN2,PP_NFIA,P_LYVE1,T_NOSTRIN,PP_CAVIN2,P_AHSG,P_PODN,T_KRT13,P_SH3BGRL2,PP_CAVIN2,T_F10,T_CLEC3B,T_SCARA5,P_HPX,T_KRT13,P_ADH1B,P_ALB,T_SCARA5,PP_NFIA,P_SPTAN1,T_ADAM12,T_INHBA,T_SASH1,T_CLEC3B,P_CAB39L,PP_CAVIN2,T_KRT4,P_PID1,T_KRT4,T_ETFDH,T_F10,P_PID1,P_RECK,P_SH3BGRL2,P_TOP1,PP_EHD2,P_SELENBP1,T_KRT4,T_CAB39L,T_KRT13,T_NXPH3,T_CLEC3B,T_GPD1L,P_CAVIN2,T_SASH1,T_SCARA5,T_GPD1L,T_PKHD1L1,P_SPTBN1,T_F10,P_SERPING1,T_KRT13,P_TF,T_TMEM100,T_KRT13,P_LYVE1,T_KRT4,T_SCARA5,P_SPTAN1,T_CAB39L,PP_CAVIN2,P_CAB39L,T_LOC105378437,T_KRT4,P_LYVE1,T_SCARA5,T_KRT13,P_SPTAN1,T_CLEC3B,P_PID1,P_A1BG,T_F10,P_SPTAN1,P_SERPINA6,P_TF,T_ASPA,PP_AQP1,T_GPRIN1,P_TMOD2,T_SCARA5,T_ETFDH
16,PP_CAVIN2,PP_CAVIN2,T_NXPH3,T_CCL14,P_DPT,T_PTK7,T_LPCAT1,P_LYVE1,T_EMP1,T_F10,T_PAIP2B,T_CLEC3B,T_PTK7,PP_CAVIN2,P_HPX,P_ALDH9A1,T_KRT4,T_RSPO1,P_LYVE1,P_PODN,P_SPTAN1,T_SCARA5,T_CLEC3B,T_SASH1,P_KNG1,T_CFD,P_RECK,T_ETFDH,P_SPTAN1,T_ASPA,P_TNS2,P_TF,T_ASPA,T_F10,T_STX1A,P_KRT13,P_SELENBP1,T_PLP1,P_CAB39L,T_MYO10,T_SERPINH1,P_SH3BGRL2,P_HPX,T_CLEC3B,PP_KANK2,P_LUM,PP_CAVIN2,T_CLEC3B,T_MPC1,PP_NFIA,P_ALB,P_COL15A1,T_SCARA5,T_ABCA8,P_ORM2,PP_NAXD,T_STX1A,P_DCN,T_GPD1L,T_F10,PP_NFIA,PP_CAVIN2,T_KRT13,T_NXPH3,T_NXPH3,T_KPNA2,T_SASH1,P_HPX,PP_CAVIN2,P_SERPINC1,P_DPT,T_CLEC3B,M_ZNF578,PP_NFIA,P_SPTAN1,PP_CAVIN2,P_DCN,T_ASPA,T_GPD1L,T_GPD1L,T_PLXNA1,P_SH3BGRL2,P_CAVIN2,T_KRT13,P_TF,P_TF,P_LYVE1,P_SERPINC1,PP_CAVIN2,T_CLEC3B,P_NOSTRIN,P_MGLL,P_SERPINC1,T_SASH1,P_SPTAN1,P_SORBS2,P_LYVE1,P_CAVIN2,P_CDC27,P_PID1
